listing id,address,latitude,longitude,price,bedrooms,bathrooms,size,availability date,housing type,laundry,parking,cats are OK - purrr,dogs are OK - wooof,furnished,no smoking,wheelchair accessible,EV charging,link,read date,last scrape date
7045401080,4721 NE 66th Ave,45.641800,-122.625100,$1205,2,1,901,,apartment,w/d in unit,carport,True,True,,True,,,https://portland.craigslist.org/clk/apa/d/vancouver-2020-might-surprise-you-but/7045401080.html,2019-12-27 14:18:58.754242,2019-12-27 15:00:15.978485
7045401033,565 N Rosa Parks Way,45.574200,-122.684200,$1295,1,1,600,2019-12-27,apartment,laundry in bldg,off-street parking,True,True,,,,,https://portland.craigslist.org/mlt/apa/d/portland-selfview-this-lower-1-bdrm/7045401033.html,2019-12-27 14:19:06.534910,2019-12-27 15:00:15.978485
7042154449,16501 NE 15th Ave near 179th Street,45.740747,-122.657225,$1420,2,2,1041,2019-12-20,apartment,w/d in unit,off-street parking,True,True,,True,,,https://portland.craigslist.org/clk/apa/d/vancouver-move-in-specials/7042154449.html,2019-12-27 14:19:13.042469,2019-12-27 15:00:15.978485
7042575268,portland,45.483000,-122.612000,$630,3,1,630,,apartment,,,,,,,,,https://portland.craigslist.org/mlt/apa/d/portland-looking-to-rent-3-bedroom/7042575268.html,2019-12-27 14:19:16.421944,2019-12-27 15:00:15.978485
7042118573,3015 NE 157th Court near 179th Street,45.664400,-122.521200,$1420,2,2,1041,2019-12-20,apartment,w/d in unit,off-street parking,True,True,,True,,,https://portland.craigslist.org/clk/apa/d/vancouver-best-move-in-specials/7042118573.html,2019-12-27 14:19:20.505173,2019-12-27 15:00:15.978485
7042127819,16501 NE 15th Avenue near 179th Street,45.740909,-122.657230,$1800,3,2,1387,2019-12-27,apartment,w/d in unit,off-street parking,True,True,,True,,,https://portland.craigslist.org/clk/apa/d/vancouver-youll-love-this-spacious/7042127819.html,2019-12-27 14:19:23.452414,2019-12-27 15:00:15.978485
7045400558,2045 N Kilpatrick Street,45.582393,-122.687364,$1095,1,0,,2019-12-26,apartment,,street parking,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-cute-studio/7045400558.html,2019-12-27 14:19:27.815396,2019-12-27 15:00:15.978485
7045400504,12070 SW FISCHER,45.397530,-122.801895,$1348,2,2,915,2019-12-27,apartment,w/d in unit,,True,True,,True,True,,https://portland.craigslist.org/wsc/apa/d/portland-we-want-your-here-riverwood/7045400504.html,2019-12-27 14:19:31.606123,2019-12-27 15:00:15.978485
7042128354,16501 NE 15th Ave near 179th Street,45.784600,-122.693400,$1420,2,2,1041,2019-12-27,apartment,w/d in unit,off-street parking,True,True,,True,,,https://portland.craigslist.org/clk/apa/d/ridgefield-best-move-in-deal-in-the/7042128354.html,2019-12-27 14:19:34.604066,2019-12-27 15:00:15.978485
7033366772,15075 SE Stark St,45.519155,-122.508827,$1050,1,1,600,2019-12-16,apartment,laundry in bldg,off-street parking,True,True,,True,True,,https://portland.craigslist.org/mlt/apa/d/portland-save-money-this-month-the/7033366772.html,2019-12-27 14:19:41.007930,2019-12-27 15:00:15.978485
7045400409,1976 NW Pettgrove St.,45.527000,-122.685400,$1398,1,1,597,2019-12-27,apartment,w/d in unit,carport,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-fitness-center-washer-dryer-in/7045400409.html,2019-12-27 14:19:45.757202,2019-12-27 15:00:15.978485
7039787890,15075 SE Stark St,45.519155,-122.508827,$1195,2,1,855,2020-01-10,apartment,laundry in bldg,no parking,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-save-money-this-month-the/7039787890.html,2019-12-27 14:19:50.557126,2019-12-27 15:00:15.978485
7042151973,16501 NE 15th Ave near 179th Street,45.784600,-122.693400,$1420,2,2,1041,2019-12-20,apartment,w/d in unit,off-street parking,True,True,,True,,,https://portland.craigslist.org/clk/apa/d/ridgefield-easy-freeway-access-big/7042151973.html,2019-12-27 14:19:54.399164,2019-12-27 15:00:15.978485
7045400303,550 NW 19th Ave. near NW Glisan,45.526738,-122.690376,$1905,1,1,974,2019-12-27,apartment,w/d in unit,detached garage,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-penthouse-style-breathtaking/7045400303.html,2019-12-27 14:19:57.029580,2019-12-27 15:00:15.978485
7042181525,16501 NE 15th Ave near 179th Street,45.784600,-122.693400,$1405,2,2,1041,2019-12-23,apartment,w/d in unit,off-street parking,True,True,,True,,,https://portland.craigslist.org/clk/apa/d/ridgefield-we-make-moving-in-so-easy/7042181525.html,2019-12-27 14:20:02.778360,2019-12-27 15:00:15.978485
7045399772,1964 NW Johnson St near 19th,45.528488,-122.691766,$1895,2,1,1000,2019-12-28,apartment,laundry in bldg,street parking,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-like-historic-with-side-of/7045399772.html,2019-12-27 14:20:07.483676,2019-12-27 15:00:15.978485
7045399689,5920 SW Erickson Ave near Allen,45.476637,-122.811690,$1195,2,1,776,2020-01-01,apartment,laundry on site,,True,True,,True,,,https://portland.craigslist.org/wsc/apa/d/beaverton-2-bedroom-1195/7045399689.html,2019-12-27 14:20:14.629712,2019-12-27 15:00:15.978485
